trial_id,session_id,block_id,session_trial_idx,char_rep,label,go_onset_bin,delay_onset_bin,T,n_channels,had_global_std
0,t5.2019.05.08,5,0,0,r,2355,2133,100,192,True
1,t5.2019.05.08,5,1,0,f,2682,2456,100,192,True
2,t5.2019.05.08,5,2,0,greaterThan,2977,2783,100,192,True
3,t5.2019.05.08,5,3,0,c,3231,3079,100,192,True
4,t5.2019.05.08,5,4,0,z,3482,3332,100,192,True
5,t5.2019.05.08,5,5,0,comma,3763,3583,100,192,True
6,t5.2019.05.08,5,6,0,i,4091,3865,100,192,True
7,t5.2019.05.08,5,7,0,o,4394,4192,100,192,True
8,t5.2019.05.08,5,8,0,g,4649,4495,100,192,True
9,t5.2019.05.08,5,9,0,t,4911,4751,100,192,True
10,t5.2019.05.08,5,10,0,d,5252,5012,100,192,True
11,t5.2019.05.08,5,11,0,s,5557,5353,100,192,True
12,t5.2019.05.08,5,12,0,u,5838,5658,100,192,True
13,t5.2019.05.08,5,13,0,a,6104,5940,100,192,True
14,t5.2019.05.08,5,14,0,q,6419,6205,100,192,True
15,t5.2019.05.08,5,15,0,tilde,6724,6520,100,192,True
16,t5.2019.05.08,5,17,0,apostrophe,7319,7143,100,192,True
17,t5.2019.05.08,5,18,0,l,7596,7420,100,192,True
18,t5.2019.05.08,5,19,0,k,7890,7698,100,192,True
19,t5.2019.05.08,5,20,0,p,8161,7991,100,192,True
20,t5.2019.05.08,5,21,0,w,8418,8262,100,192,True
21,t5.2019.05.08,5,22,0,questionMark,8685,8519,100,192,True
22,t5.2019.05.08,5,23,0,e,8975,8787,100,192,True
23,t5.2019.05.08,5,24,0,n,9246,9076,100,192,True
24,t5.2019.05.08,5,25,0,h,9573,9347,100,192,True
25,t5.2019.05.08,5,26,0,x,9873,9675,100,192,True
26,t5.2019.05.08,5,27,0,y,10144,9974,100,192,True
27,t5.2019.05.08,5,28,0,j,10419,10245,100,192,True
28,t5.2019.05.08,5,29,0,b,10713,10521,100,192,True
29,t5.2019.05.08,5,30,0,v,11018,10814,100,192,True
30,t5.2019.05.08,5,31,0,m,11283,11119,100,192,True
31,t5.2019.05.08,5,32,1,i,11606,11384,100,192,True
32,t5.2019.05.08,5,33,1,b,11948,11708,100,192,True
33,t5.2019.05.08,5,34,1,k,12255,12049,100,192,True
34,t5.2019.05.08,5,35,1,apostrophe,12558,12356,100,192,True
35,t5.2019.05.08,5,36,1,q,12848,12660,100,192,True
36,t5.2019.05.08,5,37,1,v,13159,12949,100,192,True
37,t5.2019.05.08,5,38,1,e,13480,13260,100,192,True
38,t5.2019.05.08,5,39,1,h,13764,13582,100,192,True
39,t5.2019.05.08,5,40,1,comma,14063,13865,100,192,True
40,t5.2019.05.08,5,41,1,g,14356,14164,100,192,True
41,t5.2019.05.08,5,42,1,j,14663,14457,100,192,True
42,t5.2019.05.08,5,43,1,n,15001,14765,100,192,True
43,t5.2019.05.08,5,44,1,u,15258,15102,100,192,True
44,t5.2019.05.08,5,45,1,y,15547,15359,100,192,True
45,t5.2019.05.08,5,46,1,questionMark,15837,15649,100,192,True
46,t5.2019.05.08,5,47,1,c,16104,15938,100,192,True
47,t5.2019.05.08,5,48,1,f,16393,16205,100,192,True
48,t5.2019.05.08,5,49,1,w,16705,16495,100,192,True
49,t5.2019.05.08,5,51,1,x,17299,17143,100,192,True
50,t5.2019.05.08,5,52,1,a,17580,17400,100,192,True
51,t5.2019.05.08,5,53,1,greaterThan,17930,17682,100,192,True
52,t5.2019.05.08,5,54,1,tilde,18255,18031,100,192,True
53,t5.2019.05.08,5,55,1,t,18574,18356,100,192,True
54,t5.2019.05.08,5,56,1,r,18902,18676,100,192,True
55,t5.2019.05.08,5,57,1,z,19249,19003,100,192,True
56,t5.2019.05.08,5,58,1,m,19580,19350,100,192,True
57,t5.2019.05.08,5,59,1,s,19908,19682,100,192,True
58,t5.2019.05.08,5,60,1,d,20163,20009,100,192,True
59,t5.2019.05.08,5,61,1,o,20436,20264,100,192,True
60,t5.2019.05.08,5,62,1,p,20703,20537,100,192,True
61,t5.2019.05.08,5,63,1,l,21015,20805,100,192,True
62,t5.2019.05.08,5,64,2,k,21278,21116,100,192,True
63,t5.2019.05.08,5,65,2,apostrophe,21589,21379,100,192,True
64,t5.2019.05.08,5,66,2,e,21859,21691,100,192,True
65,t5.2019.05.08,5,67,2,d,22118,21960,100,192,True
66,t5.2019.05.08,5,68,2,j,22413,22219,100,192,True
67,t5.2019.05.08,5,69,2,y,22749,22515,100,192,True
68,t5.2019.05.08,5,70,2,t,23062,22850,100,192,True
69,t5.2019.05.08,5,71,2,m,23345,23163,100,192,True
70,t5.2019.05.08,5,72,2,questionMark,23682,23446,100,192,True
71,t5.2019.05.08,5,73,2,comma,23948,23784,100,192,True
72,t5.2019.05.08,5,74,2,g,24265,24049,100,192,True
73,t5.2019.05.08,5,75,2,n,24540,24366,100,192,True
74,t5.2019.05.08,5,76,2,tilde,24854,24642,100,192,True
75,t5.2019.05.08,5,77,2,q,25159,24955,100,192,True
76,t5.2019.05.08,5,78,2,c,25506,25260,100,192,True
77,t5.2019.05.08,5,79,2,w,25816,25608,100,192,True
78,t5.2019.05.08,5,80,2,h,26097,25917,100,192,True
79,t5.2019.05.08,5,81,2,f,26402,26198,100,192,True
80,t5.2019.05.08,5,82,2,a,26661,26503,100,192,True
81,t5.2019.05.08,5,83,2,z,26963,26763,100,192,True
82,t5.2019.05.08,5,84,2,i,27264,27064,100,192,True
83,t5.2019.05.08,5,85,2,b,27549,27365,100,192,True
84,t5.2019.05.08,5,86,2,greaterThan,27845,27651,100,192,True
85,t5.2019.05.08,5,87,2,v,28174,27946,100,192,True
86,t5.2019.05.08,5,88,2,r,28493,28275,100,192,True
87,t5.2019.05.08,5,89,2,o,28753,28595,100,192,True
88,t5.2019.05.08,5,90,2,x,29044,28854,100,192,True
89,t5.2019.05.08,5,92,2,p,29588,29428,100,192,True
90,t5.2019.05.08,5,93,2,l,29856,29690,100,192,True
91,t5.2019.05.08,5,94,2,s,30123,29957,100,192,True
92,t5.2019.05.08,5,95,2,u,30430,30224,100,192,True
93,t5.2019.05.08,7,96,3,u,37959,37685,100,192,True
94,t5.2019.05.08,7,97,3,questionMark,38310,38060,100,192,True
95,t5.2019.05.08,7,98,3,z,38629,38411,100,192,True
96,t5.2019.05.08,7,99,3,s,38963,38731,100,192,True
97,t5.2019.05.08,7,100,3,n,39310,39064,100,192,True
98,t5.2019.05.08,7,101,3,k,39635,39411,100,192,True
99,t5.2019.05.08,7,102,3,greaterThan,40014,39736,100,192,True
100,t5.2019.05.08,7,103,3,d,40366,40116,100,192,True
101,t5.2019.05.08,7,104,3,f,40735,40467,100,192,True
102,t5.2019.05.08,7,105,3,g,41110,40836,100,192,True
103,t5.2019.05.08,7,106,3,w,41448,41212,100,192,True
104,t5.2019.05.08,7,107,3,b,41769,41549,100,192,True
105,t5.2019.05.08,7,108,3,p,42150,41870,100,192,True
106,t5.2019.05.08,7,109,3,c,42478,42252,100,192,True
107,t5.2019.05.08,7,110,3,r,42827,42579,100,192,True
108,t5.2019.05.08,7,111,3,j,43222,42928,100,192,True
109,t5.2019.05.08,7,112,3,e,43527,43323,100,192,True
110,t5.2019.05.08,7,113,3,m,43835,43629,100,192,True
111,t5.2019.05.08,7,114,3,o,44194,43936,100,192,True
112,t5.2019.05.08,7,115,3,l,44591,44295,100,192,True
113,t5.2019.05.08,7,116,3,a,44919,44693,100,192,True
114,t5.2019.05.08,7,117,3,apostrophe,45302,45020,100,192,True
115,t5.2019.05.08,7,119,3,t,46031,45775,100,192,True
116,t5.2019.05.08,7,120,3,tilde,46382,46132,100,192,True
117,t5.2019.05.08,7,121,3,q,46709,46483,100,192,True
118,t5.2019.05.08,7,122,3,v,47060,46810,100,192,True
119,t5.2019.05.08,7,123,3,h,47422,47162,100,192,True
120,t5.2019.05.08,7,124,3,x,47757,47523,100,192,True
121,t5.2019.05.08,7,125,3,comma,48134,47858,100,192,True
122,t5.2019.05.08,7,126,3,y,48492,48236,100,192,True
123,t5.2019.05.08,7,127,3,i,48795,48593,100,192,True
124,t5.2019.05.08,7,128,4,u,49124,48896,100,192,True
125,t5.2019.05.08,7,129,4,o,49522,49226,100,192,True
126,t5.2019.05.08,7,130,4,k,49841,49623,100,192,True
127,t5.2019.05.08,7,131,4,e,50222,49942,100,192,True
128,t5.2019.05.08,7,132,4,f,50595,50323,100,192,True
129,t5.2019.05.08,7,133,4,r,50903,50697,100,192,True
130,t5.2019.05.08,7,134,4,greaterThan,51294,51004,100,192,True
131,t5.2019.05.08,7,135,4,tilde,51663,51395,100,192,True
132,t5.2019.05.08,7,136,4,v,51991,51765,100,192,True
133,t5.2019.05.08,7,137,4,w,52366,52092,100,192,True
134,t5.2019.05.08,7,138,4,j,52715,52467,100,192,True
135,t5.2019.05.08,7,140,4,m,53384,53154,100,192,True
