character,a,apostrophe,b,c,comma,d,doNothing,e,f,g,greaterThan,h,i,j,k,l,m,n,o,p,q,questionMark,r,s,t,tilde,u,v,w,x,y,z
a,0.0,0.7395502,1.7574065,0.8151155,0.54411525,0.9444406,4.501472,0.45257065,0.48972178,1.1952516,0.7273794,1.1194931,0.45106986,1.2866267,1.2156152,0.9193273,1.166082,0.8049872,0.5785228,1.4844702,0.98184115,0.89603686,0.5176443,0.91649354,0.8322414,0.5708482,0.70201874,0.73026985,1.2111524,0.925224,1.4528612,0.85718346
apostrophe,0.7395502,0.0,1.4476095,1.3801193,0.5393731,0.2878592,5.240548,0.61567765,0.7109173,0.70605683,1.011755,1.540951,0.4528027,0.5668077,1.0035019,1.587124,1.2316949,1.1404822,0.35615018,1.1107212,0.64312786,0.37473327,1.1081299,1.2228729,0.811644,1.2607566,1.4261158,1.3878014,1.5579721,0.50620633,0.93180126,1.2899624
b,1.7574065,1.4476095,0.0,2.1972573,1.21926,1.646094,5.7260537,1.4508588,1.2928355,0.76191324,1.3183728,1.51087,1.6644667,1.2753149,1.2824755,2.0467377,1.420523,1.3153158,1.5230501,0.5128662,0.9540514,1.1636096,1.7152654,1.6672939,1.0579813,2.279795,2.3331048,2.1327083,2.0851972,0.95427626,0.82109296,1.6695791
c,0.8151155,1.3801193,2.1972573,0.0,1.1512808,1.538082,4.0594964,1.2301768,1.1007125,1.7404919,0.8986818,1.4121326,0.9388301,1.8404146,1.9900271,1.0521836,1.8826889,1.2784314,1.0564444,1.8612262,1.6657236,1.595133,0.5934343,0.6451198,1.4902927,0.82886434,0.5962843,1.1225829,1.8476069,1.483937,2.1134312,1.4119842
comma,0.54411525,0.5393731,1.21926,1.1512808,0.0,0.82554233,4.8921905,0.36447173,0.20694779,0.6777585,0.5360192,1.0212058,0.537086,0.9321534,0.92744696,1.1584078,0.9749826,0.6322362,0.48289835,0.95863044,0.5152889,0.50921875,0.6994545,0.90112054,0.4317904,1.0965868,1.1906556,1.0912727,1.3314292,0.4187533,0.9747695,0.8917214
d,0.9444406,0.2878592,1.646094,1.538082,0.82554233,0.0,5.420596,0.86926246,0.993713,0.8850726,1.2749407,1.8242682,0.6062034,0.5337249,1.1786903,1.8321354,1.4546324,1.4237827,0.53235084,1.2879145,0.87515175,0.582884,1.348005,1.4257141,1.0842576,1.4105744,1.5928613,1.5933509,1.7482414,0.74111027,1.0599034,1.5434358
doNothing,4.501472,5.240548,5.7260537,4.0594964,4.8921905,5.420596,0.0,4.7799225,4.7182364,5.5404263,4.585055,4.2625217,4.867772,5.7734475,5.315085,3.7881336,4.9338274,4.5158095,5.009567,5.6241293,5.2948785,5.339613,4.2364764,4.4938087,4.963573,4.03241,3.828916,3.9761782,4.4298096,5.3007646,5.7813854,4.3481603
e,0.45257065,0.61567765,1.4508588,1.2301768,0.36447173,0.86926246,4.7799225,0.0,0.31126872,0.91814375,0.7885503,1.0079262,0.638099,1.0963273,0.7666785,1.0442692,0.76074135,0.61956704,0.6599735,1.2670751,0.59076697,0.57398844,0.77464044,1.1534753,0.44220382,0.9099047,1.0879483,0.8492577,1.0043851,0.6860154,1.0723037,0.6760618
f,0.48972178,0.7109173,1.2928355,1.1007125,0.20694779,0.993713,4.7182364,0.31126872,0.0,0.84232557,0.48861614,0.83563256,0.6453104,1.1308583,0.92854804,0.96206087,0.8787414,0.44744107,0.6383446,1.0915631,0.6114199,0.6611286,0.58200604,0.90249294,0.3917141,0.9872865,1.0730959,0.9177923,1.1817702,0.60278076,1.0970483,0.69994617
g,1.1952516,0.70605683,0.76191324,1.7404919,0.6777585,0.8850726,5.5404263,0.91814375,0.84232557,0.0,1.0131654,1.4656479,0.9964385,0.56522715,0.94932526,1.7869828,1.2057838,1.1128043,0.8404854,0.46998152,0.43827963,0.47611147,1.3324075,1.3258607,0.71129835,1.7577585,1.8627405,1.7355983,1.7795974,0.27283347,0.46906808,1.4112892
