model,features,n_components,split,best_hparams,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1
LogisticRegression,flat,,block_aware,"{'max_iter': 2000, 'solver': 'lbfgs', 'C': 0.01}",0.8229166666666666,0.8155396686646686,0.8241965973534972,0.8172381746093158
LogisticRegression,flat_pca,20.0,block_aware,"{'max_iter': 2000, 'solver': 'lbfgs', 'C': 1.0}",0.6875,0.6768189412926255,0.6780088216761184,0.6779210786984954
LogisticRegression,flat_pca,50.0,block_aware,"{'max_iter': 2000, 'solver': 'lbfgs', 'C': 0.1}",0.7864583333333334,0.7813722735597735,0.7624448645242596,0.7609266296963573
LogisticRegression,flat_pca,100.0,block_aware,"{'max_iter': 2000, 'solver': 'lbfgs', 'C': 1.0}",0.7916666666666666,0.7947846424408925,0.7681159420289855,0.763223150056921
LogisticRegression,flat_pca,200.0,block_aware,"{'max_iter': 2000, 'solver': 'lbfgs', 'C': 0.1}",0.7916666666666666,0.7888449224386724,0.7712665406427222,0.7614116545610692
LinearSVC,flat,,block_aware,"{'max_iter': 3000, 'C': 0.01}",0.6197916666666666,0.5868939475557122,0.6175173282923756,0.6116162712158439
LinearSVC,flat_pca,20.0,block_aware,"{'max_iter': 3000, 'C': 10.0}",0.6510416666666666,0.6417811253289194,0.6559546313799622,0.6646942005230092
LinearSVC,flat_pca,50.0,block_aware,"{'max_iter': 3000, 'C': 1.0}",0.7552083333333334,0.7472461464189406,0.7378701953371141,0.7358557288425878
LinearSVC,flat_pca,100.0,block_aware,"{'max_iter': 3000, 'C': 0.1}",0.765625,0.7597340159840159,0.7781978575929427,0.7686391275758406
LinearSVC,flat_pca,200.0,block_aware,"{'max_iter': 3000, 'C': 0.01}",0.7604166666666666,0.7524733946608947,0.7668557025834909,0.7600484118021014
RidgeClassifier,flat,,block_aware,{'alpha': 0.1},0.6197916666666666,0.5964375238731856,0.6036546943919344,0.5991358557909062
RidgeClassifier,flat_pca,20.0,block_aware,{'alpha': 0.1},0.5625,0.5229245683904159,0.5778197857592943,0.5543843051600312
RidgeClassifier,flat_pca,50.0,block_aware,{'alpha': 0.1},0.7135416666666666,0.689597034909535,0.702583490863264,0.6898077973903014
RidgeClassifier,flat_pca,100.0,block_aware,{'alpha': 0.1},0.7552083333333334,0.7291499299311799,0.7479521109010712,0.7322112583899112
RidgeClassifier,flat_pca,200.0,block_aware,{'alpha': 0.1},0.7395833333333334,0.728801299803138,0.7529930686830498,0.7359551656112843
KNN,flat,,block_aware,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}",0.703125,0.6910601400411183,0.4839319470699433,0.5059730574602489
KNN,flat_pca,20.0,block_aware,"{'n_neighbors': 11, 'weights': 'distance', 'metric': 'euclidean'}",0.7760416666666666,0.767797306859807,0.7095148078134845,0.7116298932329711
KNN,flat_pca,50.0,block_aware,"{'n_neighbors': 11, 'weights': 'uniform', 'metric': 'euclidean'}",0.7760416666666666,0.7641823862412098,0.6899810964083176,0.6928293278200586
KNN,flat_pca,100.0,block_aware,"{'n_neighbors': 11, 'weights': 'distance', 'metric': 'manhattan'}",0.7239583333333334,0.7261371101724362,0.5879017013232514,0.5792466182313161
KNN,flat_pca,200.0,block_aware,"{'n_neighbors': 7, 'weights': 'distance', 'metric': 'manhattan'}",0.546875,0.5495188293363783,0.2961562696912413,0.32127654122799887
MLP,flat,,block_aware,"{'hidden_layer_sizes': [128], 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'validation_fraction': 0.1, 'n_iter_no_change': 15}",0.7083333333333334,0.6943156028053474,0.6798991808443604,0.6731604405494156
